t,tube_x,tube_y,string_x,string_y,arm1_x,arm1_y,arm2_x,arm2_y
7.524033E0,5.398915E0,8.334826E0,3.204514E1,7.488579E0,3.907517E1,5.660469E0,4.924340E1,1.743904E1
7.557325E0,5.403202E0,8.335863E0,3.204212E1,7.488215E0,3.909706E1,5.659798E0,4.926779E1,1.742650E1
7.590617E0,5.407370E0,8.337158E0,3.204547E1,7.488953E0,3.911847E1,5.653829E0,4.929203E1,1.740658E1
7.623909E0,5.403770E0,8.336265E0,3.204649E1,7.488671E0,3.912447E1,5.657685E0,4.933090E1,1.737482E1
7.657202E0,5.401708E0,8.335784E0,3.204806E1,7.488886E0,3.913795E1,5.654512E0,4.936330E1,1.734920E1
7.690494E0,5.405202E0,8.337863E0,3.204393E1,7.488449E0,3.913584E1,5.656958E0,4.939057E1,1.734649E1
7.723786E0,5.402250E0,8.337067E0,3.204155E1,7.488541E0,3.914251E1,5.662837E0,4.940524E1,1.734381E1
7.757078E0,5.398998E0,8.337182E0,3.203769E1,7.488827E0,3.914270E1,5.664655E0,4.942514E1,1.732809E1
7.790370E0,5.398849E0,8.337671E0,3.203897E1,7.489253E0,3.914206E1,5.667253E0,4.946229E1,1.729831E1
7.823663E0,5.401481E0,8.334147E0,3.203964E1,7.487358E0,3.916512E1,5.655172E0,4.951190E1,1.726757E1
7.856955E0,5.398811E0,8.333597E0,3.203927E1,7.485992E0,3.917232E1,5.659024E0,4.954813E1,1.723342E1
7.890247E0,5.401026E0,8.335341E0,3.203468E1,7.486005E0,3.918874E1,5.654432E0,4.956422E1,1.721725E1
7.923539E0,5.403771E0,8.336493E0,3.203207E1,7.485942E0,3.920305E1,5.655724E0,4.957714E1,1.720515E1
7.956831E0,5.404247E0,8.336060E0,3.251002E1,7.450574E0,3.921309E1,5.647105E0,4.962109E1,1.719357E1
7.990123E0,5.400696E0,8.335104E0,3.203290E1,7.484095E0,3.920879E1,5.636502E0,4.962868E1,1.717157E1
8.023416E0,5.406402E0,8.333277E0,3.202861E1,7.484324E0,3.920900E1,5.626469E0,4.961104E1,1.716950E1
8.056708E0,5.406084E0,8.332623E0,3.262076E1,7.488378E0,3.918323E1,5.618602E0,4.957887E1,1.717494E1
8.090000E0,5.395518E0,8.329211E0,3.200880E1,7.486251E0,3.913921E1,5.633225E0,4.944522E1,1.727048E1
8.123292E0,5.377987E0,8.324305E0,3.236174E1,7.486508E0,3.903669E1,5.671702E0,4.922141E1,1.744915E1
8.156584E0,5.354605E0,8.320819E0,3.221373E1,7.485439E0,3.893050E1,5.726835E0,4.894048E1,1.766153E1
8.189877E0,5.325857E0,8.309618E0,3.213973E1,7.484905E0,3.883663E1,5.780607E0,4.865825E1,1.786673E1
8.223169E0,5.223644E0,8.281372E0,3.202899E1,7.447101E0,3.874998E1,5.807393E0,4.846789E1,1.799100E1
8.256461E0,5.170182E0,8.255301E0,3.188124E1,7.409030E0,3.866026E1,5.842097E0,4.824714E1,1.812230E1
8.289753E0,5.137993E0,8.228025E0,3.158576E1,7.332888E0,3.852618E1,5.891045E0,4.791496E1,1.833281E1
8.323045E0,5.005351E0,8.160616E0,3.151122E1,7.406359E0,3.838100E1,5.981176E0,4.750965E1,1.860217E1
8.356337E0,4.907501E0,8.099668E0,3.132648E1,7.368020E0,3.822937E1,6.057216E0,4.713398E1,1.885571E1
8.389630E0,4.798367E0,8.039070E0,3.106746E1,7.366150E0,3.808234E1,6.125001E0,4.676835E1,1.907825E1
8.422922E0,4.722730E0,7.979329E0,3.091998E1,7.291077E0,3.793126E1,6.194499E0,4.639325E1,1.929343E1
8.456214E0,4.689535E0,7.950770E0,3.073470E1,7.326743E0,3.776016E1,6.265250E0,4.595572E1,1.954817E1
8.489506E0,4.591137E0,7.895425E0,3.032848E1,7.212797E0,3.758274E1,6.348091E0,4.551354E1,1.980894E1
8.522798E0,4.421186E0,7.802832E0,3.021721E1,7.248998E0,3.739437E1,6.416050E0,4.502381E1,2.006949E1
8.556091E0,4.237243E0,7.653487E0,3.010566E1,7.322201E0,3.723417E1,6.468155E0,4.461439E1,2.025973E1
8.589383E0,4.348250E0,7.654288E0,2.992119E1,7.246861E0,3.712321E1,6.513114E0,4.430044E1,2.039092E1
8.622675E0,4.353211E0,7.634549E0,2.973617E1,7.245525E0,3.698523E1,6.540531E0,4.401681E1,2.051764E1
8.655967E0,4.276320E0,7.605267E0,2.969997E1,7.134251E0,3.686683E1,6.559110E0,4.371641E1,2.063907E1
8.689259E0,4.278954E0,7.573348E0,2.955196E1,7.133182E0,3.674480E1,6.582640E0,4.339419E1,2.078946E1
8.722551E0,4.293232E0,7.553456E0,2.929268E1,7.168314E0,3.659317E1,6.614091E0,4.305199E1,2.090324E1
8.755844E0,4.265947E0,7.514571E0,2.914574E1,7.019236E0,3.646523E1,6.636849E0,4.271459E1,2.101977E1
8.789136E0,3.683008E0,7.538472E0,2.899666E1,7.166177E0,3.635053E1,6.642102E0,4.241538E1,2.110586E1
8.822428E0,3.648487E0,7.493196E0,2.892372E1,7.017633E0,3.624009E1,6.657482E0,4.213124E1,2.120892E1
